[#|2013-08-29T14:01:10.765+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Services] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.766+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Task] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.766+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.FilePath] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.767+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Client] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.767+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Mail] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.768+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Intervention] registered to be processed by weaver.|#]

